date,sentiment_value,sentiment_class,trades,active_accounts,volume_usd,closed_pnl,fees,net_after_fees,realized_fills,win_rate,pnl_per_realized_fill,pnl_margin_bps
2024-05-25,76.0,Extreme Greed,16,2,29991.129999999997,14.126038999999997,10.246887000000001,3.879151999999996,5,1.0,2.8252077999999994,4.710072278036872
2024-05-26,75.0,Extreme Greed,16,2,53976.67,778.6839,18.768191,759.915709,4,1.0,194.670975,144.26304920255362
2024-05-27,74.0,Greed,251,1,151115.71999999997,1129.3558700000006,45.83246600000002,1083.5234040000005,93,0.967741935483871,12.14361150537635,74.7345061122695
2024-05-29,72.0,Greed,164,2,84268.75999999995,277.7919529999999,36.876599000000006,240.91535399999992,71,0.9577464788732394,3.912562718309858,32.96499829830178
2024-05-30,73.0,Greed,7,1,2838.0899999999997,20.951433,0.993326,19.958107000000002,5,1.0,4.1902866,73.82229950424406
2024-05-31,73.0,Greed,13,1,3636.14,25.35812,1.272646,24.085473999999998,4,1.0,6.33953,69.73911895581578
2024-06-01,72.0,Greed,25,1,12834.619999999999,91.51041899999998,4.492106,87.01831299999998,9,1.0,10.167824333333332,71.29967151345345
2024-06-02,73.0,Greed,93,1,29464.510000000002,192.906947,7.792911999999999,185.114035,34,1.0,5.6737337352941175,65.47095030597828
2024-06-03,73.0,Greed,70,1,21466.859999999993,562.8082079999999,5.378086000000001,557.4301219999999,44,1.0,12.791095636363634,262.17537543916535
2024-06-04,73.0,Greed,53,1,24243.409999999996,52.211438,7.432953000000002,44.778484999999996,25,1.0,2.08845752,21.53634245347499
2024-06-05,75.0,Extreme Greed,54,1,25350.77,56.05550599999999,7.104059999999999,48.95144599999999,17,0.9411764705882353,3.2973827058823524,22.11195399587468
2024-06-06,78.0,Extreme Greed,234,1,137557.76000000015,274.1731869999999,37.079423999999975,237.09376299999997,102,0.9803921568627451,2.687972421568627,19.931495467794736
2024-06-07,77.0,Extreme Greed,440,3,1098588.7599999988,8902.467416,372.9626639999998,8529.504751999999,178,0.9887640449438202,50.013861887640445,81.0354860721496
2024-06-08,72.0,Greed,29,2,97351.87999999999,129.13883900000002,34.073136999999996,95.06570200000002,8,1.0,16.142354875000002,13.265161289129704
2024-06-09,75.0,Extreme Greed,17,2,22410.220000000005,0.0,7.515774999999997,-7.515774999999997,0,,,0.0
2024-06-10,72.0,Greed,53,2,46587.929999999986,31.266804999999998,14.696327999999994,16.570477000000004,18,1.0,1.737044722222222,6.711353133740865
2024-06-11,74.0,Greed,123,3,373279.92000000004,4320.631811000001,129.92821299999997,4190.703598000001,17,1.0,254.15481241176477,115.74776942193947
2024-06-12,72.0,Greed,254,2,193407.95999999993,-21886.531493,63.921417,-21950.45291,78,0.2692307692307692,-280.5965576025641,-1131.6251664616082
2024-06-13,70.0,Greed,79,2,132577.22000000003,6632.757114999999,33.399749999999926,6599.357365,20,0.95,331.63785574999997,500.2938751468765
2024-06-14,74.0,Greed,31,2,139868.65999999997,10258.592608999998,38.95407599999999,10219.638532999998,15,1.0,683.9061739333332,733.4446908263794
2024-06-15,74.0,Greed,78,2,718350.2499999999,3369.9583460000003,251.42254899999998,3118.5357970000005,38,1.0,88.68311436842106,46.91246847899059
2024-06-16,71.0,Greed,11,1,25235.079999999994,0.0,8.832277000000001,-8.832277000000001,0,,,0.0
2024-06-17,71.0,Greed,38,2,368380.11999999994,10599.502375000002,128.933025,10470.569350000002,26,0.9615384615384616,407.6731682692308,287.7327466802498
2024-06-18,74.0,Greed,25,2,263314.79000000004,282.57636,67.160258,215.41610200000002,4,1.0,70.64409,10.731503536128752
2024-06-19,64.0,Greed,61,3,417071.12000000005,4887.656944,138.85174299999997,4748.805201,31,1.0,157.6663530322581,117.19001171790555
2024-06-20,60.0,Greed,39,3,207990.8,57478.456026,13.469050000000001,57464.986976,8,1.0,7184.80700325,2763.509541095087
